indice,pmos,nmos,nodo,saida,corrente,LETth
267.0,-1.6657,0.9637,g1,g1,59.375,29844576.71957672
268.0,0.154,-0.6849,g1,g1,109.375,54976851.85185184
269.0,0.8057,-1.0214,g1,g1,125.0,62830687.830687836
270.0,-0.7054,0.8231,g1,g1,87.5,43981481.48148148
271.0,-0.1677,0.4555,g1,g1,100.0,50264550.26455026
272.0,0.3306,0.8842,g1,g1,112.5,56547619.047619045
273.0,-1.9487,-0.257,g1,g1,51.5625,25917658.730158728
274.0,2.0075,-0.4965,g1,g1,150.0,75396825.3968254
275.0,-0.8118,-0.5749,g1,g1,84.375,42410714.285714276
276.0,0.197,-0.07169,g1,g1,109.375,54976851.85185184
277.0,-0.8308,0.3378,g1,g1,81.25,40839947.08994709
278.0,1.056,-0.7299,g1,g1,131.25,65972222.222222224
279.0,-1.8989,-0.6257,g1,g1,53.125,26703042.328042325
280.0,0.674,-1.1258,g1,g1,121.875,61259920.63492063
281.0,0.3258,1.1567,g1,g1,112.5,56547619.047619045
282.0,0.2855,1.0197,g1,g1,112.5,56547619.047619045
283.0,-0.2475,-0.2962,g1,g1,100.0,50264550.26455026
284.0,0.4365,2.217,g1,g1,118.75,59689153.43915344
285.0,-0.7063,0.8736,g1,g1,87.5,43981481.48148148
286.0,-0.03617,0.2109,g1,g1,106.25,53406084.65608465
287.0,0.08297,-0.7235,g1,g1,106.25,53406084.65608465
288.0,0.1117,0.4489,g1,g1,106.25,53406084.65608465
289.0,0.8345,1.1054,g1,g1,125.0,62830687.830687836
290.0,-0.905,0.3587,g1,g1,81.25,40839947.08994709
291.0,1.6132,0.1564,g1,g1,143.75,72255291.00529101
292.0,-0.4194,1.3245,g1,g1,93.75,47123015.87301587
293.0,2.1047,-1.2862,g1,g1,150.0,75396825.3968254
294.0,0.3662,-0.1811,g1,g1,112.5,56547619.047619045
295.0,0.3046,0.285,g1,g1,112.5,56547619.047619045
296.0,-0.9984,1.6995,g1,g1,78.125,39269179.894179896
297.0,0.01168,-0.7072,g1,g1,106.25,53406084.65608465
298.0,0.3261,-0.5227,g1,g1,112.5,56547619.047619045
299.0,1.3223,-0.2553,g1,g1,137.5,69113756.61375661
